Date-1,Jan-21,Date-2,Feb-21,Date-3,Mar-21,Date-4,Apr-21,Date-5,May-21,Date-6,Jun-21,Date-7,Jul-21,Date-8,Aug-21
1/1/2021,2068,1/2/2021,4214,1/3/2021,1828,1/4/2021,1178,1/5/2021,2881,1/6/2021,7105,1/7/2021,6988,1/8/2021,17150
2/1/2021,2295,2/2/2021,3455,2/3/2021,1555,2/4/2021,1294,2/5/2021,3418,2/6/2021,7703,2/7/2021,6982,2/8/2021,15764
3/1/2021,1704,3/2/2021,4284,3/3/2021,1745,3/4/2021,1638,3/5/2021,2500,3/6/2021,8209,3/7/2021,6658,3/8/2021,17105
4/1/2021,1741,4/2/2021,4571,4/3/2021,2063,4/4/2021,1349,4/5/2021,3120,4/6/2021,7748,4/7/2021,6045,4/8/2021,19819
5/1/2021,2027,5/2/2021,3391,5/3/2021,2154,5/4/2021,1070,5/5/2021,3744,5/6/2021,7452,5/7/2021,6387,5/8/2021,20596
6/1/2021,2593,6/2/2021,3847,6/3/2021,1680,6/4/2021,1300,6/5/2021,3551,6/6/2021,6241,6/7/2021,7654,6/8/2021,20889
7/1/2021,3027,7/2/2021,3731,7/3/2021,1683,7/4/2021,1139,7/5/2021,4498,7/6/2021,5271,7/7/2021,7097,7/8/2021,19257
8/1/2021,2643,8/2/2021,3100,8/3/2021,1529,8/4/2021,1285,8/5/2021,4519,8/6/2021,5566,8/7/2021,8868,8/8/2021,18688
9/1/2021,2451,9/2/2021,2764,9/3/2021,1280,9/4/2021,1854,9/5/2021,3733,9/6/2021,6239,9/7/2021,9180,9/8/2021,17236
10/1/2021,2433,10/2/2021,3288,10/3/2021,1448,10/4/2021,1510,10/5/2021,3807,10/6/2021,5671,10/7/2021,9353,10/8/2021,19991
11/1/2021,2232,11/2/2021,3384,11/3/2021,1647,11/4/2021,1739,11/5/2021,3973,11/6/2021,6849,11/7/2021,9105,11/8/2021,20780
12/1/2021,3309,12/2/2021,3318,12/3/2021,1575,12/4/2021,1317,12/5/2021,4765,12/6/2021,5793,12/7/2021,8574,12/8/2021,21668
13/1/2021,2985,13/2/2021,3499,13/3/2021,1470,13/4/2021,1767,13/5/2021,4855,13/6/2021,5304,13/7/2021,11079,13/8/2021,21468
14/1/2021,3337,14/2/2021,2464,14/3/2021,1354,14/4/2021,1889,14/5/2021,4113,14/6/2021,4949,14/7/2021,11618,14/8/2021,20670
15/1/2021,3211,15/2/2021,2176,15/3/2021,1208,15/4/2021,2148,15/5/2021,4140,15/6/2021,5419,15/7/2021,13215,15/8/2021,20546
16/1/2021,4029,16/2/2021,2720,16/3/2021,1063,16/4/2021,2551,16/5/2021,3780,16/6/2021,5150,16/7/2021,12541,16/8/2021,19740
17/1/2021,3339,17/2/2021,2998,17/3/2021,1219,17/4/2021,2331,17/5/2021,4446,17/6/2021,5738,17/7/2021,12528,17/8/2021,19631
18/1/2021,3306,18/2/2021,2712,18/3/2021,1213,18/4/2021,2195,18/5/2021,4865,18/6/2021,6440,18/7/2021,10710,18/8/2021,22242
19/1/2021,3631,19/2/2021,2936,19/3/2021,1576,19/4/2021,2078,19/5/2021,6075,19/6/2021,5911,19/7/2021,10972,19/8/2021,22948
20/1/2021,4008,20/2/2021,2461,20/3/2021,1671,20/4/2021,2341,20/5/2021,6806,20/6/2021,5293,20/7/2021,12366,20/8/2021,23564
21/1/2021,3170,21/2/2021,3297,21/3/2021,1327,21/4/2021,2340,21/5/2021,6493,21/6/2021,4611,21/7/2021,11985,21/8/2021,22262
22/1/2021,3631,22/2/2021,2192,22/3/2021,1116,22/4/2021,2875,22/5/2021,6320,22/6/2021,4743,22/7/2021,13034,22/8/2021,19807
23/1/2021,4275,23/2/2021,2468,23/3/2021,1384,23/4/2021,2847,23/5/2021,6976,23/6/2021,5244,23/7/2021,15573,23/8/2021,17627
24/1/2021,3346,24/2/2021,3545,24/3/2021,1268,24/4/2021,2717,24/5/2021,6509,24/6/2021,5841,24/7/2021,15902,24/8/2021,20837
25/1/2021,3048,25/2/2021,1924,25/3/2021,1360,25/4/2021,2690,25/5/2021,7289,25/6/2021,5812,25/7/2021,17045,25/8/2021,22642
26/1/2021,3585,26/2/2021,2253,26/3/2021,1275,26/4/2021,2776,26/5/2021,7478,26/6/2021,5803,26/7/2021,14516,26/8/2021,24599
27/1/2021,3680,27/2/2021,2364,27/3/2021,1199,27/4/2021,2733,27/5/2021,7857,27/6/2021,5586,27/7/2021,16117,27/8/2021,22070
28/1/2021,4094,28/2/2021,2437,28/3/2021,1302,28/4/2021,3142,28/5/2021,8290,28/6/2021,5218,28/7/2021,17405,28/8/2021,22597
29/1/2021,5725,,,29/3/2021,941,29/4/2021,3332,29/5/2021,9020,29/6/2021,6437,29/7/2021,17170,29/8/2021,20579
30/1/2021,5728,,,30/3/2021,1133,30/4/2021,3788,30/5/2021,6999,30/6/2021,6276,30/7/2021,16840,30/8/2021,19628
31/1/2021,4214,,,31/3/2021,1482,,,31/5/2021,6824,,,31/7/2021,17786,31/8/2021,20897
